Year,Geography,Rate per 100000
"2015","California","484.6"
"2014","California","455.6"
"2013","California","436.4"
"2012","California","441.1"
"2011","California","442.7"
"2010","California","403.0"
"2009","California","398.0"
"2008","California","407.2"
"2007","California","392.2"
"2006","California","377.8"
"2005","California","365.4"
"2004","California","343.8"
"2003","California","333.3"
"2002","California","316.3"
"2001","California","295.6"
"2000","California","280.4"
"2017","Colorado","481.4"
"2016","Colorado","462.4"
"2015","Colorado","438.5"
"2014","Colorado","409.2"
"2013","Colorado","387.4"
"2012","Colorado","417.1"
"2011","Colorado","426.3"
"2010","Colorado","385.2"
"2009","Colorado","398.8"
"2008","Colorado","389.2"
"2007","Colorado","355.3"
"2006","Colorado","343.6"
"2005","Colorado","331.5"
"2004","Colorado","307.9"
"2003","Colorado","286.8"
"2002","Colorado","311.5"
"2001","Colorado","298.7"
"2000","Colorado","277.2"
"2017","Connecticut","494.7"
"2016","Connecticut","387.7"
"2015","Connecticut","365.2"
"2014","Connecticut","371.7"
"2013","Connecticut","354.6"
"2012","Connecticut","363.1"
"2011","Connecticut","380.0"
"2010","Connecticut","353.3"
"2009","Connecticut","345.0"
"2008","Connecticut","357.4"
"2007","Connecticut","328.4"
"2006","Connecticut","314.1"
"2005","Connecticut","317.5"
"2004","Connecticut","274.9"
"2003","Connecticut","270.8"
"2002","Connecticut","284.4"
"2001","Connecticut","225.1"
"2000","Connecticut","222.9"
"2017","Delaware","560.5"
"2016","Delaware","563.1"
"2015","Delaware","487.8"
"2014","Delaware","478.5"
"2013","Delaware","563.5"
"2012","Delaware","484.0"
"2011","Delaware","496.5"
"2010","Delaware","496.2"
"2009","Delaware","533.6"
"2008","Delaware","441.2"
"2007","Delaware","402.1"
"2006","Delaware","423.6"
"2005","Delaware","403.7"
"2004","Delaware","357.1"
"2003","Delaware","372.2"
"2002","Delaware","329.2"
"2001","Delaware","351.3"
"2000","Delaware","363.2"
"2017","District of Columbia","1312.3"
"2016","District of Columbia","1064.2"
"2015","District of Columbia","1173.4"
"2014","District of Columbia","801.0"
"2013","District of Columbia","986.6"
"2012","District of Columbia","1071.1"
"2011","District of Columbia","1061.5"
"2010","District of Columbia","923.7"
"2009","District of Columbia","1091.5"
"2008","District of Columbia","1173.7"
"2007","District of Columbia","1029.0"
"2006","District of Columbia","576.9"
"2005","District of Columbia","631.9"
"2004","District of Columbia","602.4"
"2003","District of Columbia","548.2"
"2002","District of Columbia","570.1"
"2001","District of Columbia","568.3"
"2000","District of Columbia","560.5"
"2017","Florida","476.6"
"2016","Florida","458.7"
"2015","Florida","446.3"
"2014","Florida","423.1"
"2013","Florida","409.4"
"2012","Florida","401.4"
"2011","Florida","398.1"
"2010","Florida","396.6"
"2009","Florida","394.0"
"2008","Florida","385.7"
"2007","Florida","315.3"
"2006","Florida","270.8"
"2005","Florida","244.0"
"2004","Florida","245.0"
"2003","Florida","249.7"
"2002","Florida","252.2"
"2001","Florida","230.1"
"2000","Florida","208.1"
"2017","Georgia","624.2"
"2016","Georgia","608.7"
"2015","Georgia","565.1"
"2014","Georgia","515.1"
"2013","Georgia","511.6"
"2012","Georgia","528.9"
"2011","Georgia","554.5"
"2010","Georgia","464.8"
"2009","Georgia","405.8"
"2008","Georgia","439.9"
"2007","Georgia","450.5"
"2006","Georgia","418.0"
"2005","Georgia","369.2"
"2004","Georgia","384.9"
"2003","Georgia","408.9"
"2002","Georgia","396.1"
"2001","Georgia","402.0"
"2000","Georgia","356.7"
"2017","Hawaii","479.8"
"2016","Hawaii","483.1"
"2015","Hawaii","496.0"
"2014","Hawaii","452.8"
"2013","Hawaii","471.6"
"2012","Hawaii","455.2"
"2011","Hawaii","435.4"
"2010","Hawaii","441.0"
"2009","Hawaii","467.8"
"2008","Hawaii","467.3"
"2007","Hawaii","445.7"
"2006","Hawaii","437.1"
"2005","Hawaii","435.9"
"2004","Hawaii","425.6"
"2003","Hawaii","444.9"
"2002","Hawaii","368.6"
"2001","Hawaii","330.7"
"2000","Hawaii","292.6"
"2017","Idaho","361.1"
"2016","Idaho","351.0"
"2015","Idaho","341.4"
"2014","Idaho","333.8"
"2013","Idaho","337.1"
"2012","Idaho","285.3"
"2011","Idaho","296.8"
"2010","Idaho","267.9"
"2009","Idaho","248.8"
"2008","Idaho","274.8"
"2007","Idaho","248.4"
"2006","Idaho","228.5"
"2005","Idaho","196.4"
"2004","Idaho","200.1"
"2003","Idaho","173.5"
"2002","Idaho","186.6"
"2001","Idaho","153.2"
"2000","Idaho","146.7"
"2017","Illinois","589.9"
"2016","Illinois","562.5"
"2015","Illinois","541.2"
"2014","Illinois","516.5"
"2013","Illinois","494.9"
"2012","Illinois","525.7"
"2011","Illinois","504.9"
"2010","Illinois","472.5"
"2009","Illinois","469.6"
"2008","Illinois","460.9"
"2007","Illinois","434.2"
"2006","Illinois","421.5"
"2005","Illinois","399.0"
"2004","Illinois","373.2"
"2003","Illinois","383.3"
"2002","Illinois","383.1"
"2001","Illinois","349.5"
"2000","Illinois","324.4"
"2017","Indiana","514.2"
"2016","Indiana","465.0"
"2015","Indiana","437.0"
"2014","Indiana","432.6"
"2013","Indiana","426.7"
"2012","Indiana","451.4"
"2011","Indiana","426.7"
"2010","Indiana","351.7"
"2009","Indiana","338.6"
"2008","Indiana","346.9"
"2007","Indiana","326.4"
"2006","Indiana","315.2"
"2005","Indiana","320.8"
"2004","Indiana","296.7"
"2003","Indiana","276.1"
"2002","Indiana","278.1"
"2001","Indiana","249.1"
"2000","Indiana","230.9"
"2017","Iowa","441.6"
"2016","Iowa","414.7"
"2015","Iowa","387.5"
"2014","Iowa","380.1"
"2013","Iowa","354.5"
"2012","Iowa","370.1"
"2011","Iowa","349.4"
"2010","Iowa","345.6"
"2009","Iowa","312.7"
"2008","Iowa","313.0"
"2007","Iowa","290.0"
"2006","Iowa","282.9"
"2005","Iowa","250.5"
"2004","Iowa","236.4"
"2003","Iowa","221.2"
"2002","Iowa","211.5"
"2001","Iowa","194.6"
"2000","Iowa","204.5"
"2017","Kansas","465.3"
"2016","Kansas","418.2"
"2015","Kansas","394.5"
"2014","Kansas","383.4"
"2013","Kansas","380.7"
"2012","Kansas","385.9"
"2011","Kansas","369.4"
"2010","Kansas","335.9"
"2009","Kansas","373.0"
"2008","Kansas","329.4"
"2007","Kansas","294.9"
"2006","Kansas","284.3"
"2005","Kansas","270.8"
"2004","Kansas","274.5"
"2003","Kansas","266.5"
"2002","Kansas","250.2"
"2001","Kansas","224.0"
"2000","Kansas","224.9"
"2017","Kentucky","433.7"
"2016","Kentucky","412.2"
"2015","Kentucky","394.5"
"2014","Kentucky","400.5"
"2013","Kentucky","389.5"
"2012","Kentucky","394.0"
"2011","Kentucky","380.7"
"2010","Kentucky","376.6"
"2009","Kentucky","308.3"
"2008","Kentucky","283.7"
"2007","Kentucky","206.8"
"2006","Kentucky","212.0"
"2005","Kentucky","199.8"
"2004","Kentucky","156.1"
"2003","Kentucky","193.8"
"2002","Kentucky","214.0"
"2001","Kentucky","218.3"
"2000","Kentucky","199.1"
"2017","Louisiana","742.0"
"2016","Louisiana","677.0"
"2015","Louisiana","692.0"
"2014","Louisiana","622.8"
"2013","Louisiana","621.1"
"2012","Louisiana","594.3"
"2011","Louisiana","691.1"
"2010","Louisiana","641.4"
"2009","Louisiana","615.4"
"2008","Louisiana","509.3"
"2007","Louisiana","442.7"
"2006","Louisiana","422.0"
"2005","Louisiana","383.2"
"2004","Louisiana","486.6"
"2003","Louisiana","468.8"
"2002","Louisiana","413.0"
"2001","Louisiana","401.9"
"2000","Louisiana","404.7"
"2017","Maine","341.0"
"2016","Maine","312.4"
"2015","Maine","298.6"
"2014","Maine","265.6"
"2013","Maine","258.9"
"2012","Maine","257.0"
"2011","Maine","233.0"
"2010","Maine","194.8"
"2009","Maine","184.7"
"2008","Maine","197.9"
"2007","Maine","193.1"
"2006","Maine","175.6"
"2005","Maine","172.0"
"2004","Maine","161.6"
"2003","Maine","155.9"
"2002","Maine","139.6"
"2001","Maine","104.2"
"2000","Maine","115.4"
"2017","Maryland","552.1"
"2016","Maryland","508.9"
"2015","Maryland","457.5"
"2014","Maryland","459.3"
"2013","Maryland","450.4"
"2012","Maryland","450.4"
"2011","Maryland","465.7"
"2010","Maryland","452.5"
"2009","Maryland","417.5"
"2008","Maryland","436.6"
"2007","Maryland","411.4"
"2006","Maryland","390.0"
"2005","Maryland","328.0"
"2004","Maryland","360.3"
"2003","Maryland","306.5"
"2002","Maryland","310.6"
"2001","Maryland","291.0"
"2000","Maryland","273.7"
"2017","Massachusetts","427.3"
"2016","Massachusetts","392.9"
"2015","Massachusetts","354.7"
"2014","Massachusetts","314.8"
"2013","Massachusetts","345.8"
"2012","Massachusetts","353.6"
"2011","Massachusetts","344.3"
"2010","Massachusetts","321.1"
"2009","Massachusetts","293.0"
"2008","Massachusetts","267.5"
"2007","Massachusetts","248.4"
"2006","Massachusetts","238.1"
"2005","Massachusetts","223.3"
"2004","Massachusetts","205.2"
"2003","Massachusetts","175.1"
"2002","Massachusetts","169.5"
"2001","Massachusetts","162.2"
"2000","Massachusetts","158.3"
"2017","Michigan","507.9"
"2016","Michigan","462.4"
"2015","Michigan","468.7"
"2014","Michigan","446.4"
"2013","Michigan","452.9"
"2012","Michigan","481.1"
"2011","Michigan","501.9"
"2010","Michigan","501.0"
"2009","Michigan","459.2"
"2008","Michigan","449.3"
"2007","Michigan","371.6"
"2006","Michigan","364.5"
"2005","Michigan","383.8"
"2004","Michigan","408.7"
"2003","Michigan","323.4"
"2002","Michigan","321.5"
"2001","Michigan","310.7"
"2000","Michigan","263.6"
"2017","Minnesota","422.1"
"2016","Minnesota","410.6"
"2015","Minnesota","387.4"
"2014","Minnesota","365.1"
"2013","Minnesota","346.0"
"2012","Minnesota","335.8"
"2011","Minnesota","316.2"
"2010","Minnesota","288.0"
"2009","Minnesota","269.8"
"2008","Minnesota","274.4"
"2007","Minnesota","258.4"
"2006","Minnesota","251.3"
"2005","Minnesota","238.7"
"2004","Minnesota","228.4"
"2003","Minnesota","212.1"
"2002","Minnesota","201.4"
"2001","Minnesota","167.1"
"2000","Minnesota","164.2"
"2017","Mississippi","708.7"
"2016","Mississippi","673.7"
"2015","Mississippi","581.9"
"2014","Mississippi","656.0"
"2013","Mississippi","584.5"
"2012","Mississippi","772.9"
"2011","Mississippi","712.6"
"2010","Mississippi","721.0"
"2009","Mississippi","799.6"
"2008","Mississippi","723.1"
"2007","Mississippi","742.6"
"2006","Mississippi","656.0"
"2005","Mississippi","733.6"
"2004","Mississippi","653.8"
"2003","Mississippi","425.4"
"2002","Mississippi","412.9"
"2001","Mississippi","413.3"
"2000","Mississippi","445.8"
"2017","Missouri","534.6"
"2016","Missouri","506.4"
"2015","Missouri","476.7"
"2014","Missouri","461.9"
"2013","Missouri","452.4"
"2012","Missouri","462.1"
"2011","Missouri","464.0"
"2010","Missouri","434.5"
"2009","Missouri","432.4"
"2008","Missouri","417.0"
"2007","Missouri","394.7"
"2006","Missouri","392.3"
"2005","Missouri","385.5"
"2004","Missouri","370.4"
"2003","Missouri","325.0"
"2002","Missouri","284.9"
"2001","Missouri","247.2"
"2000","Missouri","239.9"
"2017","Montana","434.1"
"2016","Montana","425.2"
"2015","Montana","406.9"
"2014","Montana","411.1"
"2013","Montana","377.3"
"2012","Montana","381.4"
"2011","Montana","341.7"
"2010","Montana","311.2"
"2009","Montana","306.7"
"2008","Montana","320.4"
"2007","Montana","287.1"
"2006","Montana","280.1"
"2005","Montana","256.8"
"2004","Montana","281.7"
"2003","Montana","277.9"
"2002","Montana","272.1"
"2001","Montana","209.4"
"2000","Montana","162.6"
"2017","Nebraska","447.6"
"2016","Nebraska","429.7"
"2015","Nebraska","420.2"
"2014","Nebraska","398.7"
"2013","Nebraska","391.0"
"2012","Nebraska","363.8"
"2011","Nebraska","368.1"
"2010","Nebraska","279.5"
"2009","Nebraska","303.3"
"2008","Nebraska","313.1"
"2007","Nebraska","290.1"
"2006","Nebraska","308.5"
"2005","Nebraska","291.2"
"2004","Nebraska","300.8"
"2003","Nebraska","273.4"
"2002","Nebraska","277.1"
"2001","Nebraska","186.6"
"2000","Nebraska","221.3"
"2017","Nevada","542.4"
"2016","Nevada","498.4"
"2015","Nevada","448.3"
"2014","Nevada","418.2"
"2013","Nevada","422.8"
"2012","Nevada","404.6"
"2011","Nevada","386.5"
"2010","Nevada","357.6"
"2009","Nevada","380.7"
"2008","Nevada","370.1"
"2007","Nevada","370.9"
"2006","Nevada","337.1"
"2005","Nevada","304.1"
"2004","Nevada","287.4"
"2003","Nevada","260.7"
"2002","Nevada","274.1"
"2001","Nevada","230.7"
"2000","Nevada","199.1"
"2017","New Hampshire","328.6"
"2016","New Hampshire","259.7"
"2015","New Hampshire","232.7"
"2014","New Hampshire","269.9"
"2013","New Hampshire","235.8"
"2012","New Hampshire","232.6"
"2011","New Hampshire","228.3"
"2010","New Hampshire","187.0"
"2009","New Hampshire","159.0"
"2008","New Hampshire","159.7"
"2007","New Hampshire","156.1"
"2006","New Hampshire","152.3"
"2005","New Hampshire","141.6"
"2004","New Hampshire","134.3"
"2003","New Hampshire","126.0"
"2002","New Hampshire","122.5"
"2001","New Hampshire","110.1"
"2000","New Hampshire","91.1"
"2017","New Jersey","391.3"
"2016","New Jersey","384.5"
"2015","New Jersey","349.7"
"2014","New Jersey","334.4"
"2013","New Jersey","317.8"
"2012","New Jersey","307.0"
"2011","New Jersey","296.3"
"2010","New Jersey","296.9"
"2009","New Jersey","275.8"
"2008","New Jersey","258.8"
"2007","New Jersey","249.5"
"2006","New Jersey","234.3"
"2005","New Jersey","222.2"
"2004","New Jersey","202.6"
"2003","New Jersey","188.3"
"2002","New Jersey","165.8"
"2001","New Jersey","192.2"
"2000","New Jersey","128.3"
"2017","New Mexico","649.4"
"2016","New Mexico","628.6"
"2015","New Mexico","606.6"
"2014","New Mexico","554.8"
"2013","New Mexico","587.4"
"2012","New Mexico","571.0"
"2011","New Mexico","547.4"
"2010","New Mexico","567.0"
"2009","New Mexico","472.9"
"2008","New Mexico","466.8"
"2007","New Mexico","481.1"
"2006","New Mexico","506.5"
"2005","New Mexico","441.6"
"2004","New Mexico","478.0"
"2003","New Mexico","400.4"
"2002","New Mexico","401.1"
"2001","New Mexico","342.0"
"2000","New Mexico","285.8"
"2017","New York","588.5"
"2016","New York","551.7"
"2015","New York","522.8"
"2014","New York","499.7"
"2013","New York","486.0"
"2012","New York","512.3"
"2011","New York","526.3"
"2010","New York","514.9"
"2009","New York","471.6"
"2008","New York","453.9"
"2007","New York","415.6"
"2006","New York","355.1"
"2005","New York","330.9"
"2004","New York","306.2"
"2003","New York","297.5"
"2002","New York","266.8"
"2001","New York","242.4"
"2000","New York","165.5"
"2017","North Carolina","612.0"
"2016","North Carolina","571.1"
"2015","North Carolina","641.1"
"2014","North Carolina","474.3"
"2013","North Carolina","491.5"
"2012","North Carolina","518.7"
"2011","North Carolina","567.3"
"2010","North Carolina","439.2"
"2009","North Carolina","438.7"
"2008","North Carolina","406.5"
"2007","North Carolina","338.3"
"2006","North Carolina","379.7"
"2005","North Carolina","360.3"
"2004","North Carolina","340.1"
"2003","North Carolina","311.8"
"2002","North Carolina","297.5"
"2001","North Carolina","269.4"
"2000","North Carolina","272.1"
"2017","North Dakota","433.9"
"2016","North Dakota","457.3"
"2015","North Dakota","418.5"
"2014","North Dakota","467.2"
"2013","North Dakota","405.6"
"2012","North Dakota","414.6"
"2011","North Dakota","357.0"
"2010","North Dakota","356.4"
"2009","North Dakota","303.0"
"2008","North Dakota","299.9"
"2007","North Dakota","280.6"
"2006","North Dakota","286.2"
"2005","North Dakota","262.7"
"2004","North Dakota","284.8"
"2003","North Dakota","262.0"
"2002","North Dakota","198.4"
"2001","North Dakota","166.9"
"2000","North Dakota","141.7"
"2017","Ohio","526.6"
"2016","Ohio","520.5"
"2015","Ohio","488.8"
"2014","Ohio","473.2"
"2013","Ohio","459.2"
"2012","Ohio","460.2"
"2011","Ohio","456.1"
"2010","Ohio","443.3"
"2009","Ohio","418.3"
"2008","Ohio","408.8"
"2007","Ohio","411.8"
"2006","Ohio","349.0"
"2005","Ohio","381.7"
"2004","Ohio","343.4"
"2003","Ohio","371.4"
"2002","Ohio","333.0"
"2001","Ohio","330.4"
"2000","Ohio","274.5"
"2017","Oklahoma","553.4"
"2016","Oklahoma","547.0"
"2015","Oklahoma","538.5"
"2014","Oklahoma","533.2"
"2013","Oklahoma","474.8"
"2012","Oklahoma","441.5"
"2011","Oklahoma","385.6"
"2010","Oklahoma","380.4"
"2009","Oklahoma","407.6"
"2008","Oklahoma","406.6"
"2007","Oklahoma","347.2"
"2006","Oklahoma","363.8"
"2005","Oklahoma","379.8"
"2004","Oklahoma","295.2"
"2003","Oklahoma","315.1"
"2002","Oklahoma","310.2"
"2001","Oklahoma","302.5"
"2000","Oklahoma","270.2"
"2017","Oregon","449.8"
"2016","Oregon","426.5"
"2015","Oregon","405.9"
"2014","Oregon","391.5"
"2013","Oregon","361.8"
"2012","Oregon","345.5"
"2011","Oregon","352.9"
"2010","Oregon","321.9"
"2009","Oregon","300.7"
"2008","Oregon","284.2"
"2007","Oregon","264.0"
"2006","Oregon","260.5"
"2005","Oregon","249.3"
"2004","Oregon","243.2"
"2003","Oregon","216.5"
"2002","Oregon","199.3"
"2001","Oregon","214.8"
"2000","Oregon","207.2"
"2017","Pennsylvania","440.8"
"2016","Pennsylvania","445.2"
"2015","Pennsylvania","417.9"
"2014","Pennsylvania","395.1"
"2013","Pennsylvania","407.4"
"2012","Pennsylvania","430.7"
"2011","Pennsylvania","415.0"
"2010","Pennsylvania","373.8"
"2009","Pennsylvania","341.8"
"2008","Pennsylvania","336.2"
"2007","Pennsylvania","339.3"
"2006","Pennsylvania","316.7"
"2005","Pennsylvania","300.1"
"2004","Pennsylvania","307.0"
"2003","Pennsylvania","301.7"
"2002","Pennsylvania","258.0"
"2001","Pennsylvania","230.3"
"2000","Pennsylvania","215.5"
"2017","Rhode Island","498.5"
"2016","Rhode Island","466.7"
"2015","Rhode Island","433.3"
"2014","Rhode Island","412.3"
"2013","Rhode Island","409.6"
"2012","Rhode Island","409.7"
"2011","Rhode Island","394.0"
"2010","Rhode Island","330.4"
"2009","Rhode Island","341.9"
"2008","Rhode Island","313.4"
"2007","Rhode Island","299.8"
"2006","Rhode Island","295.2"
"2005","Rhode Island","305.7"
"2004","Rhode Island","319.9"
"2003","Rhode Island","279.7"
"2002","Rhode Island","265.4"
"2001","Rhode Island","275.3"
"2000","Rhode Island","250.5"
"2017","South Carolina","641.6"
"2016","South Carolina","568.1"
"2015","South Carolina","562.9"
"2014","South Carolina","582.1"
"2013","South Carolina","537.0"
"2012","South Carolina","575.3"
"2011","South Carolina","619.2"
"2010","South Carolina","572.2"
"2009","South Carolina","585.3"
"2008","South Carolina","585.2"
"2007","South Carolina","598.4"
"2006","South Carolina","515.7"
"2005","South Carolina","430.4"
"2004","South Carolina","439.0"
"2003","South Carolina","353.1"
"2002","South Carolina","348.9"
"2001","South Carolina","377.3"
"2000","South Carolina","247.3"
"2017","South Dakota","510.2"
"2016","South Dakota","502.7"
"2015","South Dakota","462.4"
"2014","South Dakota","490.4"
"2013","South Dakota","466.1"
"2012","South Dakota","471.3"
"2011","South Dakota","414.0"
"2010","South Dakota","391.1"
"2009","South Dakota","371.8"
"2008","South Dakota","368.1"
"2007","South Dakota","329.3"
"2006","South Dakota","334.6"
"2005","South Dakota","346.8"
"2004","South Dakota","327.5"
"2003","South Dakota","340.5"
"2002","South Dakota","290.8"
"2001","South Dakota","240.0"
"2000","South Dakota","242.7"
"2017","Tennessee","522.4"
"2016","Tennessee","485.8"
"2015","Tennessee","474.5"
"2014","Tennessee","470.8"
"2013","Tennessee","467.9"
"2012","Tennessee","504.2"
"2011","Tennessee","486.3"
"2010","Tennessee","445.7"
"2009","Tennessee","472.3"
"2008","Tennessee","449.4"
"2007","Tennessee","435.2"
"2006","Tennessee","415.7"
"2005","Tennessee","384.9"
"2004","Tennessee","380.4"
"2003","Tennessee","348.0"
"2002","Tennessee","276.5"
"2001","Tennessee","270.4"
"2000","Tennessee","264.2"
"2017","Texas","535.4"
"2016","Texas","512.3"
"2015","Texas","514.1"
"2014","Texas","486.8"
"2013","Texas","490.4"
"2012","Texas","487.1"
"2011","Texas","487.0"
"2010","Texas","474.9"
"2009","Texas","427.6"
"2008","Texas","415.3"
"2007","Texas","360.1"
"2006","Texas","323.4"
"2005","Texas","315.3"
"2004","Texas","313.4"
"2003","Texas","313.9"
"2002","Texas","320.3"
"2001","Texas","327.0"
"2000","Texas","328.5"
"2017","Utah","326.7"
"2016","Utah","310.6"
"2015","Utah","289.2"
"2014","Utah","279.8"
"2013","Utah","259.8"
"2012","Utah","266.8"
"2011","Utah","251.7"
"2010","Utah","241.1"
"2009","Utah","221.0"
"2008","Utah","221.0"
"2007","Utah","214.8"
"2006","Utah","197.2"
"2005","Utah","184.2"
"2004","Utah","158.2"
"2003","Utah","163.7"
"2002","Utah","151.6"
"2001","Utah","131.1"
"2000","Utah","97.6"
"2017","Vermont","297.9"
"2016","Vermont","271.1"
"2015","Vermont","304.4"
"2014","Vermont","357.5"
"2013","Vermont","294.2"
"2012","Vermont","275.6"
"2011","Vermont","236.8"
"2010","Vermont","200.8"
"2009","Vermont","190.8"
"2008","Vermont","191.6"
"2007","Vermont","170.4"
"2006","Vermont","192.1"
"2005","Vermont","154.7"
"2004","Vermont","183.9"
"2003","Vermont","171.9"
"2002","Vermont","155.2"
"2001","Vermont","104.3"
"2000","Vermont","86.3"
"2017","Virginia","500.3"
"2016","Virginia","471.4"
"2015","Virginia","422.5"
"2014","Virginia","433.4"
"2013","Virginia","403.3"
"2012","Virginia","427.0"
"2011","Virginia","447.9"
"2010","Virginia","383.8"
"2009","Virginia","393.0"
"2008","Virginia","401.2"
"2007","Virginia","319.0"
"2006","Virginia","315.5"
"2005","Virginia","300.3"
"2004","Virginia","290.2"
"2003","Virginia","264.4"
"2002","Virginia","254.5"
"2001","Virginia","255.0"
"2000","Virginia","216.1"
"2017","Washington","435.2"
"2016","Washington","429.3"
"2015","Washington","401.2"
"2014","Washington","377.1"
"2013","Washington","358.3"
"2012","Washington","356.9"
"2011","Washington","341.4"
"2010","Washington","316.7"
"2009","Washington","320.6"
"2008","Washington","325.9"
"2007","Washington","290.6"
"2006","Washington","279.7"
"2005","Washington","297.4"
"2004","Washington","285.3"
"2003","Washington","275.0"
"2002","Washington","246.6"
"2001","Washington","227.6"
"2000","Washington","221.0"
"2017","West Virginia","228.0"
"2016","West Virginia","263.6"
"2015","West Virginia","269.5"
"2014","West Virginia","255.4"
"2013","West Virginia","277.4"
"2012","West Virginia","258.2"
"2011","West Virginia","231.5"
"2010","West Virginia","209.0"
"2009","West Virginia","197.9"
"2008","West Virginia","182.6"
"2007","West Virginia","174.8"
"2006","West Virginia","160.9"
"2005","West Virginia","163.2"
"2004","West Virginia","152.9"
"2003","West Virginia","143.4"
"2002","West Virginia","136.9"
"2001","West Virginia","131.3"
"2000","West Virginia","118.6"
"2017","Wisconsin","478.6"
"2016","Wisconsin","465.9"
"2015","Wisconsin","423.3"
"2014","Wisconsin","402.6"
"2013","Wisconsin","410.9"
"2012","Wisconsin","414.7"
"2011","Wisconsin","431.5"
"2010","Wisconsin","408.3"
"2009","Wisconsin","370.0"
"2008","Wisconsin","373.1"
"2007","Wisconsin","349.1"
"2006","Wisconsin","362.4"
"2005","Wisconsin","369.2"
"2004","Wisconsin","348.6"
"2003","Wisconsin","327.4"
"2002","Wisconsin","312.1"
"2001","Wisconsin","301.2"
"2000","Wisconsin","304.5"
"2017","Wyoming","369.7"
"2016","Wyoming","352.2"
"2015","Wyoming","347.6"
"2014","Wyoming","338.1"
"2013","Wyoming","344.3"
"2012","Wyoming","364.5"
"2011","Wyoming","368.6"
"2010","Wyoming","374.4"
"2009","Wyoming","360.6"
"2008","Wyoming","296.1"
"2007","Wyoming","228.8"
"2006","Wyoming","277.4"
"2005","Wyoming","231.8"
"2004","Wyoming","215.2"
"2003","Wyoming","192.4"
"2002","Wyoming","190.0"
"2001","Wyoming","170.2"
"2000","Wyoming","163.4"
