state,year,population
Colorado,2004,"4,575,013"
Colorado,2005,"4,631,888"
Colorado,2006,"4,720,423"
Colorado,2007,"4,803,868"
Colorado,2008,"4,889,730"
Colorado,2009,"4,972,195"
Colorado,2010,"5,048,281"
Colorado,2011,"5,121,771"
Colorado,2012,"5,193,721"
Colorado,2013,"5,270,482"
Colorado,2014,"5,351,218"
Colorado,2015,"5,452,107"
Colorado,2016,"5,540,921"
Colorado,2017,"5,615,902"
Colorado,2018,"5,695,564"
Colorado,2019,"5,695,564"
Connecticut,1990,"3,291,967"
Connecticut,1991,"3,302,895"
Connecticut,1992,"3,300,712"
Connecticut,1993,"3,309,175"
Connecticut,1994,"3,316,121"
Connecticut,1995,"3,324,144"
Connecticut,1996,"3,336,685"
Connecticut,1997,"3,349,348"
Connecticut,1998,"3,365,352"
Connecticut,1999,"3,386,401"
Connecticut,2000,"3,411,777"
Connecticut,2001,"3,432,835"
Connecticut,2002,"3,458,749"
Connecticut,2003,"3,484,336"
Connecticut,2004,"3,496,094"
Connecticut,2005,"3,506,956"
Connecticut,2006,"3,517,460"
Connecticut,2007,"3,527,270"
Connecticut,2008,"3,545,579"
Connecticut,2009,"3,561,807"
Connecticut,2010,"3,579,125"
Connecticut,2011,"3,588,023"
Connecticut,2012,"3,594,395"
Connecticut,2013,"3,594,915"
Connecticut,2014,"3,594,783"
Connecticut,2015,"3,587,509"
Connecticut,2016,"3,578,674"
Connecticut,2017,"3,573,880"
Connecticut,2018,"3,572,665"
Connecticut,2019,"3,572,665"
Delaware,1990,"669,567"
Delaware,1991,"683,080"
Delaware,1992,"694,925"
Delaware,1993,"706,378"
Delaware,1994,"717,545"
Delaware,1995,"729,734"
Delaware,1996,"740,977"
Delaware,1997,"751,487"
Delaware,1998,"763,335"
Delaware,1999,"774,990"
Delaware,2000,"786,373"
Delaware,2001,"795,699"
Delaware,2002,"806,169"
Delaware,2003,"818,003"
Delaware,2004,"830,803"
Delaware,2005,"845,150"
Delaware,2006,"859,268"
Delaware,2007,"871,749"
Delaware,2008,"883,874"
Delaware,2009,"891,730"
Delaware,2010,"899,595"
Delaware,2011,"907,316"
Delaware,2012,"915,188"
Delaware,2013,"923,638"
Delaware,2014,"932,596"
Delaware,2015,"941,413"
Delaware,2016,"949,216"
Delaware,2017,"957,078"
Delaware,2018,"967,171"
Delaware,2019,"967,171"
District of Columbia,1990,"605,321"
District of Columbia,1991,"600,870"
District of Columbia,1992,"597,565"
District of Columbia,1993,"595,301"
District of Columbia,1994,"589,239"
District of Columbia,1995,"580,517"
District of Columbia,1996,"572,377"
District of Columbia,1997,"567,736"
District of Columbia,1998,"565,230"
District of Columbia,1999,"570,213"
District of Columbia,2000,"572,046"
District of Columbia,2001,"574,504"
District of Columbia,2002,"573,158"
District of Columbia,2003,"568,502"
District of Columbia,2004,"567,754"
District of Columbia,2005,"567,136"
District of Columbia,2006,"570,681"
District of Columbia,2007,"574,404"
District of Columbia,2008,"580,236"
District of Columbia,2009,"592,228"
District of Columbia,2010,"605,085"
District of Columbia,2011,"619,602"
District of Columbia,2012,"634,725"
District of Columbia,2013,"650,431"
District of Columbia,2014,"662,513"
District of Columbia,2015,"675,254"
District of Columbia,2016,"686,575"
District of Columbia,2017,"695,691"
District of Columbia,2018,"702,455"
District of Columbia,2019,"702,455"
Florida,1990,"13,033,307"
Florida,1991,"13,369,798"
Florida,1992,"13,650,553"
Florida,1993,"13,927,185"
Florida,1994,"14,239,444"
Florida,1995,"14,537,875"
Florida,1996,"14,853,360"
Florida,1997,"15,186,304"
Florida,1998,"15,486,559"
Florida,1999,"15,759,421"
Florida,2000,"16,047,515"
Florida,2001,"16,356,966"
Florida,2002,"16,689,370"
Florida,2003,"17,004,085"
Florida,2004,"17,415,318"
Florida,2005,"17,842,038"
Florida,2006,"18,166,990"
Florida,2007,"18,367,842"
Florida,2008,"18,527,305"
Florida,2009,"18,652,644"
Florida,2010,"18,845,785"
Florida,2011,"19,093,352"
Florida,2012,"19,326,230"
Florida,2013,"19,563,166"
Florida,2014,"19,860,330"
Florida,2015,"20,224,249"
Florida,2016,"20,629,982"
Florida,2017,"20,976,812"
Florida,2018,"21,299,325"
Florida,2019,"21,299,325"
Georgia,1990,"6,512,602"
Georgia,1991,"6,653,005"
Georgia,1992,"6,817,203"
Georgia,1993,"6,978,240"
Georgia,1994,"7,157,165"
Georgia,1995,"7,328,413"
Georgia,1996,"7,501,069"
Georgia,1997,"7,685,099"
Georgia,1998,"7,863,536"
Georgia,1999,"8,045,965"
Georgia,2000,"8,227,303"
Georgia,2001,"8,377,038"
Georgia,2002,"8,508,256"
Georgia,2003,"8,622,793"
Georgia,2004,"8,769,252"
Georgia,2005,"8,925,922"
Georgia,2006,"9,155,813"
Georgia,2007,"9,349,988"
Georgia,2008,"9,504,843"
Georgia,2009,"9,620,846"
Georgia,2010,"9,711,810"
Georgia,2011,"9,801,578"
Georgia,2012,"9,901,496"
Georgia,2013,"9,973,326"
Georgia,2014,"10,069,001"
Georgia,2015,"10,181,111"
Georgia,2016,"10,304,763"
Georgia,2017,"10,413,055"
Georgia,2018,"10,519,475"
Georgia,2019,"10,519,475"
Hawaii,1990,"1,113,491"
Hawaii,1991,"1,136,754"
Hawaii,1992,"1,158,613"
Hawaii,1993,"1,172,838"
Hawaii,1994,"1,187,536"
Hawaii,1995,"1,196,854"
Hawaii,1996,"1,203,755"
Hawaii,1997,"1,211,640"
Hawaii,1998,"1,215,233"
Hawaii,1999,"1,210,300"
Hawaii,2000,"1,213,519"
Hawaii,2001,"1,225,948"
Hawaii,2002,"1,239,613"
Hawaii,2003,"1,251,154"
Hawaii,2004,"1,273,569"
Hawaii,2005,"1,292,729"
Hawaii,2006,"1,309,731"
Hawaii,2007,"1,315,675"
Hawaii,2008,"1,332,213"
Hawaii,2009,"1,346,717"
Hawaii,2010,"1,363,963"
Hawaii,2011,"1,379,252"
Hawaii,2012,"1,394,905"
Hawaii,2013,"1,408,453"
Hawaii,2014,"1,414,862"
Hawaii,2015,"1,422,484"
Hawaii,2016,"1,428,105"
Hawaii,2017,"1,424,203"
Hawaii,2018,"1,420,491"
Hawaii,2019,"1,420,491"
Idaho,1990,"1,012,384"
Idaho,1991,"1,041,316"
Idaho,1992,"1,071,685"
Idaho,1993,"1,108,768"
Idaho,1994,"1,145,140"
Idaho,1995,"1,177,322"
Idaho,1996,"1,203,083"
Idaho,1997,"1,228,520"
Idaho,1998,"1,252,330"
Idaho,1999,"1,275,674"
Idaho,2000,"1,299,430"
Idaho,2001,"1,319,962"
Idaho,2002,"1,340,372"
Idaho,2003,"1,363,380"
Idaho,2004,"1,391,802"
Idaho,2005,"1,428,241"
Idaho,2006,"1,468,669"
Idaho,2007,"1,505,105"
Idaho,2008,"1,534,320"
Idaho,2009,"1,554,439"
Idaho,2010,"1,570,773"
Idaho,2011,"1,583,828"
Idaho,2012,"1,595,441"
Idaho,2013,"1,611,530"
Idaho,2014,"1,631,479"
Idaho,2015,"1,651,523"
Idaho,2016,"1,682,930"
Idaho,2017,"1,718,904"
Idaho,2018,"1,754,208"
Idaho,2019,"1,754,208"
Illinois,1990,"11,453,316"
Illinois,1991,"11,568,964"
Illinois,1992,"11,694,184"
Illinois,1993,"11,809,579"
Illinois,1994,"11,912,585"
Illinois,1995,"12,008,437"
Illinois,1996,"12,101,997"
Illinois,1997,"12,185,715"
Illinois,1998,"12,271,847"
Illinois,1999,"12,359,020"
Illinois,2000,"12,434,161"
Illinois,2001,"12,488,445"
Illinois,2002,"12,525,556"
Illinois,2003,"12,556,006"
Illinois,2004,"12,589,773"
Illinois,2005,"12,609,903"
Illinois,2006,"12,643,955"
Illinois,2007,"12,695,866"
Illinois,2008,"12,747,038"
Illinois,2009,"12,796,778"
Illinois,2010,"12,840,762"
Illinois,2011,"12,867,291"
Illinois,2012,"12,884,119"
Illinois,2013,"12,898,269"
Illinois,2014,"12,888,962"
Illinois,2015,"12,864,342"
Illinois,2016,"12,826,895"
Illinois,2017,"12,786,196"
Illinois,2018,"12,741,080"
Illinois,2019,"12,741,080"
Indiana,1990,"5,557,798"
Indiana,1991,"5,616,388"
Indiana,1992,"5,674,547"
Indiana,1993,"5,739,019"
Indiana,1994,"5,793,526"
Indiana,1995,"5,851,459"
Indiana,1996,"5,906,013"
Indiana,1997,"5,955,267"
Indiana,1998,"5,998,880"
Indiana,1999,"6,044,969"
Indiana,2000,"6,091,866"
Indiana,2001,"6,127,760"
Indiana,2002,"6,155,967"
Indiana,2003,"6,196,638"
Indiana,2004,"6,233,007"
Indiana,2005,"6,278,616"
Indiana,2006,"6,332,669"
Indiana,2007,"6,379,599"
Indiana,2008,"6,424,806"
Indiana,2009,"6,459,325"
Indiana,2010,"6,490,436"
Indiana,2011,"6,516,045"
Indiana,2012,"6,537,640"
Indiana,2013,"6,568,367"
Indiana,2014,"6,593,533"
Indiana,2015,"6,608,296"
Indiana,2016,"6,633,344"
Indiana,2017,"6,660,082"
Indiana,2018,"6,691,878"
Indiana,2019,"6,691,878"
Iowa,1990,"2,781,018"
Iowa,1991,"2,797,613"
Iowa,1992,"2,818,401"
Iowa,1993,"2,836,972"
Iowa,1994,"2,850,746"
Iowa,1995,"2,867,373"
Iowa,1996,"2,880,000"
Iowa,1997,"2,891,119"
Iowa,1998,"2,902,872"
Iowa,1999,"2,917,634"
Iowa,2000,"2,929,067"
Iowa,2001,"2,931,997"
Iowa,2002,"2,934,234"
Iowa,2003,"2,941,999"
Iowa,2004,"2,953,635"
Iowa,2005,"2,964,454"
Iowa,2006,"2,982,644"
Iowa,2007,"2,999,212"
Iowa,2008,"3,016,734"
Iowa,2009,"3,032,870"
Iowa,2010,"3,050,767"
Iowa,2011,"3,066,054"
Iowa,2012,"3,076,097"
Iowa,2013,"3,093,078"
Iowa,2014,"3,109,504"
Iowa,2015,"3,121,460"
Iowa,2016,"3,131,785"
Iowa,2017,"3,143,637"
Iowa,2018,"3,156,145"
Iowa,2019,"3,156,145"
Kansas,1990,"2,481,349"
Kansas,1991,"2,498,722"
Kansas,1992,"2,532,394"
Kansas,1993,"2,556,547"
Kansas,1994,"2,580,513"
Kansas,1995,"2,601,007"
Kansas,1996,"2,614,554"
Kansas,1997,"2,635,292"
Kansas,1998,"2,660,598"
Kansas,1999,"2,678,338"
Kansas,2000,"2,693,681"
Kansas,2001,"2,702,162"
Kansas,2002,"2,713,535"
Kansas,2003,"2,723,004"
Kansas,2004,"2,734,373"
Kansas,2005,"2,745,299"
Kansas,2006,"2,762,931"
Kansas,2007,"2,783,785"
Kansas,2008,"2,808,076"
Kansas,2009,"2,832,704"
Kansas,2010,"2,858,213"
Kansas,2011,"2,869,035"
Kansas,2012,"2,885,361"
Kansas,2013,"2,893,510"
Kansas,2014,"2,900,896"
Kansas,2015,"2,909,502"
Kansas,2016,"2,911,263"
Kansas,2017,"2,910,689"
Kansas,2018,"2,911,505"
Kansas,2019,"2,911,505"
Kentucky,1990,"3,694,048"
Kentucky,1991,"3,722,328"
Kentucky,1992,"3,765,469"
Kentucky,1993,"3,812,206"
Kentucky,1994,"3,849,088"
Kentucky,1995,"3,887,427"
Kentucky,1996,"3,919,535"
Kentucky,1997,"3,952,747"
Kentucky,1998,"3,985,390"
Kentucky,1999,"4,018,053"
Kentucky,2000,"4,049,021"
Kentucky,2001,"4,068,132"
Kentucky,2002,"4,089,875"
Kentucky,2003,"4,117,170"
Kentucky,2004,"4,146,101"
Kentucky,2005,"4,182,742"
Kentucky,2006,"4,219,239"
Kentucky,2007,"4,256,672"
Kentucky,2008,"4,289,878"
Kentucky,2009,"4,317,074"
Kentucky,2010,"4,348,200"
Kentucky,2011,"4,369,488"
Kentucky,2012,"4,386,381"
Kentucky,2013,"4,404,817"
Kentucky,2014,"4,414,483"
Kentucky,2015,"4,425,999"
Kentucky,2016,"4,438,229"
Kentucky,2017,"4,453,874"
Kentucky,2018,"4,468,402"
Kentucky,2019,"4,468,402"
Louisiana,1990,"4,221,532"
Louisiana,1991,"4,253,279"
Louisiana,1992,"4,293,003"
Louisiana,1993,"4,316,428"
Louisiana,1994,"4,347,481"
Louisiana,1995,"4,378,779"
Louisiana,1996,"4,398,877"
Louisiana,1997,"4,421,071"
Louisiana,1998,"4,440,344"
Louisiana,1999,"4,460,811"
Louisiana,2000,"4,471,885"
Louisiana,2001,"4,477,875"
Louisiana,2002,"4,497,267"
Louisiana,2003,"4,521,042"
Louisiana,2004,"4,552,238"
Louisiana,2005,"4,576,628"
Louisiana,2006,"4,302,665"
Louisiana,2007,"4,375,581"
Louisiana,2008,"4,435,586"
Louisiana,2009,"4,491,648"
Louisiana,2010,"4,544,532"
Louisiana,2011,"4,575,184"
Louisiana,2012,"4,600,814"
Louisiana,2013,"4,624,577"
Louisiana,2014,"4,644,204"
Louisiana,2015,"4,664,851"
Louisiana,2016,"4,678,215"
Louisiana,2017,"4,670,818"
Louisiana,2018,"4,659,978"
Louisiana,2019,"4,659,978"
Maine,1990,"1,231,719"
Maine,1991,"1,237,081"
Maine,1992,"1,238,508"
Maine,1993,"1,242,302"
Maine,1994,"1,242,662"
Maine,1995,"1,243,480"
Maine,1996,"1,249,060"
Maine,1997,"1,254,774"
Maine,1998,"1,259,127"
Maine,1999,"1,266,808"
Maine,2000,"1,277,072"
Maine,2001,"1,285,692"
Maine,2002,"1,295,960"
Maine,2003,"1,306,513"
Maine,2004,"1,313,688"
Maine,2005,"1,318,787"
Maine,2006,"1,323,619"
Maine,2007,"1,327,040"
Maine,2008,"1,330,509"
Maine,2009,"1,329,590"
Maine,2010,"1,327,632"
Maine,2011,"1,328,150"
Maine,2012,"1,327,691"
Maine,2013,"1,328,196"
Maine,2014,"1,330,760"
Maine,2015,"1,328,484"
Maine,2016,"1,331,370"
Maine,2017,"1,335,063"
Maine,2018,"1,338,404"
Maine,2019,"1,338,404"
Maryland,1990,"4,799,770"
Maryland,1991,"4,867,641"
Maryland,1992,"4,923,368"
Maryland,1993,"4,971,889"
Maryland,1994,"5,023,060"
Maryland,1995,"5,070,033"
Maryland,1996,"5,111,986"
Maryland,1997,"5,157,328"
Maryland,1998,"5,204,464"
Maryland,1999,"5,254,509"
Maryland,2000,"5,311,034"
Maryland,2001,"5,374,691"
Maryland,2002,"5,440,389"
Maryland,2003,"5,496,269"
Maryland,2004,"5,546,935"
Maryland,2005,"5,592,379"
Maryland,2006,"5,627,367"
Maryland,2007,"5,653,408"
Maryland,2008,"5,684,965"
Maryland,2009,"5,730,388"
Maryland,2010,"5,788,642"
Maryland,2011,"5,838,991"
Maryland,2012,"5,887,072"
Maryland,2013,"5,923,704"
Maryland,2014,"5,958,165"
Maryland,2015,"5,986,717"
Maryland,2016,"6,004,692"
Maryland,2017,"6,024,891"
Maryland,2018,"6,042,718"
Maryland,2019,"6,042,718"
Massachusetts,1990,"6,022,639"
Massachusetts,1991,"6,018,470"
Massachusetts,1992,"6,028,709"
Massachusetts,1993,"6,060,569"
Massachusetts,1994,"6,095,241"
Massachusetts,1995,"6,141,445"
Massachusetts,1996,"6,179,756"
Massachusetts,1997,"6,226,058"
Massachusetts,1998,"6,271,838"
Massachusetts,1999,"6,317,345"
Massachusetts,2000,"6,361,104"
Massachusetts,2001,"6,397,634"
Massachusetts,2002,"6,417,206"
Massachusetts,2003,"6,422,565"
Massachusetts,2004,"6,412,281"
Massachusetts,2005,"6,403,290"
Massachusetts,2006,"6,410,084"
Massachusetts,2007,"6,431,559"
Massachusetts,2008,"6,468,967"
Massachusetts,2009,"6,517,613"
Massachusetts,2010,"6,566,431"
Massachusetts,2011,"6,613,149"
Massachusetts,2012,"6,663,158"
Massachusetts,2013,"6,713,944"
Massachusetts,2014,"6,763,652"
Massachusetts,2015,"6,795,891"
Massachusetts,2016,"6,826,022"
Massachusetts,2017,"6,863,246"
Massachusetts,2018,"6,902,149"
Massachusetts,2019,"6,902,149"
Michigan,1990,"9,311,319"
Michigan,1991,"9,400,446"
Michigan,1992,"9,479,065"
Michigan,1993,"9,540,114"
Michigan,1994,"9,597,737"
Michigan,1995,"9,676,211"
Michigan,1996,"9,758,645"
Michigan,1997,"9,809,051"
Michigan,1998,"9,847,942"
Michigan,1999,"9,897,116"
Michigan,2000,"9,952,450"
Michigan,2001,"9,991,120"
Michigan,2002,"10,015,710"
Michigan,2003,"10,041,152"
Michigan,2004,"10,055,315"
Michigan,2005,"10,051,137"
Michigan,2006,"10,036,081"
Michigan,2007,"10,001,284"
Michigan,2008,"9,946,889"
Michigan,2009,"9,901,591"
Michigan,2010,"9,877,535"
Michigan,2011,"9,881,521"
Michigan,2012,"9,896,930"
Michigan,2013,"9,913,349"
Michigan,2014,"9,930,589"
Michigan,2015,"9,932,573"
Michigan,2016,"9,951,890"
Michigan,2017,"9,976,447"
Michigan,2018,"9,995,915"
Michigan,2019,"9,995,915"
Minnesota,1990,"4,389,857"
Minnesota,1991,"4,440,859"
Minnesota,1992,"4,495,572"
Minnesota,1993,"4,555,954"
Minnesota,1994,"4,610,355"
Minnesota,1995,"4,660,180"
Minnesota,1996,"4,712,827"
Minnesota,1997,"4,763,390"
Minnesota,1998,"4,813,412"
Minnesota,1999,"4,873,481"
Minnesota,2000,"4,933,692"
Minnesota,2001,"4,982,796"
Minnesota,2002,"5,018,935"
Minnesota,2003,"5,053,572"
Minnesota,2004,"5,087,713"
Minnesota,2005,"5,119,598"
Minnesota,2006,"5,163,555"
Minnesota,2007,"5,207,203"
Minnesota,2008,"5,247,018"
Minnesota,2009,"5,281,203"
Minnesota,2010,"5,310,843"
Minnesota,2011,"5,345,668"
Minnesota,2012,"5,376,550"
Minnesota,2013,"5,413,693"
Minnesota,2014,"5,451,522"
Minnesota,2015,"5,482,503"
Minnesota,2016,"5,523,409"
Minnesota,2017,"5,568,155"
Minnesota,2018,"5,611,179"
Minnesota,2019,"5,611,179"
Mississippi,1990,"2,578,897"
Mississippi,1991,"2,598,733"
Mississippi,1992,"2,623,734"
Mississippi,1993,"2,655,100"
Mississippi,1994,"2,688,992"
Mississippi,1995,"2,722,659"
Mississippi,1996,"2,748,085"
Mississippi,1997,"2,777,004"
Mississippi,1998,"2,804,834"
Mississippi,1999,"2,828,408"
Mississippi,2000,"2,848,353"
Mississippi,2001,"2,852,994"
Mississippi,2002,"2,858,681"
Mississippi,2003,"2,868,312"
Mississippi,2004,"2,889,010"
Mississippi,2005,"2,905,943"
Mississippi,2006,"2,904,978"
Mississippi,2007,"2,928,350"
Mississippi,2008,"2,947,806"
Mississippi,2009,"2,958,774"
Mississippi,2010,"2,970,536"
Mississippi,2011,"2,978,470"
Mississippi,2012,"2,983,767"
Mississippi,2013,"2,988,797"
Mississippi,2014,"2,990,623"
Mississippi,2015,"2,988,693"
Mississippi,2016,"2,988,298"
Mississippi,2017,"2,989,663"
Mississippi,2018,"2,986,530"
Mississippi,2019,"2,986,530"
Missouri,1990,"5,128,880"
Missouri,1991,"5,170,800"
Missouri,1992,"5,217,101"
Missouri,1993,"5,271,175"
Missouri,1994,"5,324,497"
Missouri,1995,"5,378,247"
Missouri,1996,"5,431,553"
Missouri,1997,"5,481,193"
Missouri,1998,"5,521,765"
Missouri,1999,"5,561,948"
Missouri,2000,"5,607,285"
Missouri,2001,"5,641,142"
Missouri,2002,"5,674,825"
Missouri,2003,"5,709,403"
Missouri,2004,"5,747,741"
Missouri,2005,"5,790,300"
Missouri,2006,"5,842,704"
Missouri,2007,"5,887,612"
Missouri,2008,"5,923,916"
Missouri,2009,"5,961,088"
Missouri,2010,"5,995,976"
Missouri,2011,"6,009,641"
Missouri,2012,"6,024,081"
Missouri,2013,"6,040,658"
Missouri,2014,"6,056,293"
Missouri,2015,"6,071,745"
Missouri,2016,"6,087,203"
Missouri,2017,"6,108,612"
Missouri,2018,"6,126,452"
Missouri,2019,"6,126,452"
Montana,1990,"800,204"
Montana,1991,"809,680"
Montana,1992,"825,770"
Montana,1993,"844,761"
Montana,1994,"861,306"
Montana,1995,"876,553"
Montana,1996,"886,254"
Montana,1997,"889,865"
Montana,1998,"892,431"
Montana,1999,"897,507"
Montana,2000,"903,773"
Montana,2001,"906,961"
Montana,2002,"911,667"
Montana,2003,"919,630"
Montana,2004,"930,009"
Montana,2005,"940,102"
Montana,2006,"952,692"
Montana,2007,"964,706"
Montana,2008,"976,415"
Montana,2009,"983,982"
Montana,2010,"990,722"
Montana,2011,"997,221"
Montana,2012,"1,003,754"
Montana,2013,"1,013,564"
Montana,2014,"1,021,891"
Montana,2015,"1,030,503"
Montana,2016,"1,040,863"
Montana,2017,"1,053,090"
Montana,2018,"1,062,305"
Montana,2019,"1,062,305"
Nebraska,1990,"1,581,660"
Nebraska,1991,"1,595,919"
Nebraska,1992,"1,611,687"
Nebraska,1993,"1,625,590"
Nebraska,1994,"1,639,041"
Nebraska,1995,"1,656,992"
Nebraska,1996,"1,673,740"
Nebraska,1997,"1,686,418"
Nebraska,1998,"1,695,816"
Nebraska,1999,"1,704,764"
Nebraska,2000,"1,713,820"
Nebraska,2001,"1,719,836"
Nebraska,2002,"1,728,292"
Nebraska,2003,"1,738,643"
Nebraska,2004,"1,749,370"
Nebraska,2005,"1,761,497"
Nebraska,2006,"1,772,693"
Nebraska,2007,"1,783,440"
Nebraska,2008,"1,796,378"
Nebraska,2009,"1,812,683"
Nebraska,2010,"1,829,536"
Nebraska,2011,"1,840,538"
Nebraska,2012,"1,853,323"
Nebraska,2013,"1,865,414"
Nebraska,2014,"1,879,522"
Nebraska,2015,"1,891,507"
Nebraska,2016,"1,905,924"
Nebraska,2017,"1,917,575"
Nebraska,2018,"1,929,268"
Nebraska,2019,"1,929,268"
Nevada,1990,"1,220,695"
Nevada,1991,"1,296,171"
Nevada,1992,"1,351,367"
Nevada,1993,"1,411,215"
Nevada,1994,"1,499,298"
Nevada,1995,"1,581,578"
Nevada,1996,"1,666,320"
Nevada,1997,"1,764,104"
Nevada,1998,"1,853,191"
Nevada,1999,"1,934,718"
Nevada,2000,"2,018,741"
Nevada,2001,"2,098,399"
Nevada,2002,"2,173,791"
Nevada,2003,"2,248,850"
Nevada,2004,"2,346,222"
Nevada,2005,"2,432,143"
Nevada,2006,"2,522,658"
Nevada,2007,"2,601,072"
Nevada,2008,"2,653,630"
Nevada,2009,"2,684,665"
Nevada,2010,"2,702,464"
Nevada,2011,"2,712,799"
Nevada,2012,"2,744,566"
Nevada,2013,"2,776,972"
Nevada,2014,"2,819,012"
Nevada,2015,"2,868,666"
Nevada,2016,"2,919,772"
Nevada,2017,"2,972,405"
Nevada,2018,"3,034,392"
Nevada,2019,"3,034,392"
New Hampshire,1990,"1,112,384"
New Hampshire,1991,"1,109,929"
New Hampshire,1992,"1,117,784"
New Hampshire,1993,"1,129,458"
New Hampshire,1994,"1,142,560"
New Hampshire,1995,"1,157,561"
